001MIOJO                         015000010000A
002ESCOVA                        014014010000I
003ACUCAR                        013000000000E
004ARROZ                         004000000000A
005ARROZ                         011000000000E
006REFRIGERANTE                  008000000000E
007BISCOITO                      008000000000I
008IOGURTE                       007000000000I
009IOGURTE                       005000000000A
010ACUCAR                        018000000000I
011BISCOITO                      007000000000I
012SAL                           004000000000A
013CAFE                          002000000000I
014CAFE                          002000000000A
015REFRIGERANTE                  012000000000I
016SUCO                          005000000000A
017FARINHA                       007000000000E
018SABONETE                      003000000000I
019ESCOVA                        017000000000E
020MACARRAO                      010000000000I
021SABONETE                      012000000000I
022CAFE                          008000000000E
023ESCOVA                        018000000000E
024FEIJAO                        009000000000I
025SAL                           018000000000I
026OLEO                          004000000000I
027MACARRAO                      013000000000A
028BISCOITO                      020000000000A
029BISCOITO                      008000000000E
030LEITE                         016000000000E
031CAFE                          011000000000A
032OLEO                          008000000000A
033SHAMPOO                       003000000000A
034ACUCAR                        013000000000A
035CHOCOLATE                     005000000000A
036FARINHA                       013000000000A
037MACARRAO                      014000000000A
038OLEO                          005000000000A
039MIOJO                         016000000000A
040SHAMPOO                       010000000000A
041MACARRAO                      018000000000A
042OLEO                          019000000000A
043FARINHA                       018000000000I
044FEIJAO                        014000000000A
045FEIJAO                        017000000000A
046ARROZ                         010000000000A
047ESCOVA                        005000000000A
048CAFE                          010000000000A
049MIOJO                         008000000000A
050SHAMPOO                       009000000000A
051MIOJO                         011000000000A
052IOGURTE                       007000000000I
053SHAMPOO                       005000000000A
054CAFE                          015000000000I
055OLEO                          005000000000I
056CERVEJA                       017000000000A
057FARINHA                       013000000000A
058CREME                         016000000000I
059OLEO                          016000000000A
060CREME                         019000000000A
061IOGURTE                       011000000000A
062CHOCOLATE                     019000000000A
063ARROZ                         003000000000A
064CAFE                          011000000000E
065MIOJO                         012000000000I
066CAFE                          017000000000A
067IOGURTE                       003000000000I
068ESCOVA                        012000000000I
069ACUCAR                        016000000000E
070ACUCAR                        017000000000I
071FARINHA                       020000000000I
072CERVEJA                       013000000000E
073MACARRAO                      009000000000I
074LEITE                         013000000000E
075IOGURTE                       003000000000E
076MIOJO                         013000000000A
077FARINHA                       005000000000E
078LEITE                         019000000000E
079SABONETE                      018000000000E
080CERVEJA                       015000000000E
081LEITE                         001000000000E
082FARINHA                       014000000000E
083CHOCOLATE                     011000000000I
084BISCOITO                      003000000000E
085FARINHA                       018000000000I
086SAL                           020000000000A
087CAFE                          018000000000A
088CREME                         011000000000A
089LEITE                         019000000000E
090FEIJAO                        007000000000I
091BISCOITO                      006000000000E
092MIOJO                         011000000000E
093ACUCAR                        006000000000A
094ARROZ                         014000000000A
095FEIJAO                        018000000000E
096ESCOVA                        003000000000E
097ESCOVA                        016000000000I
098CAFE                          014000000000I
099FARINHA                       014000000000E
100CREME                         016000000000E
101CREME                         016000000000A
102CAFE                          014000000000A
103FARINHA                       014000000000A
105CREME                         016000000000A
